客户999,account_06,jimi123,jimi123,505548@qq.com,,,,,,账号已存在
客户155,kehu01,abcdefgh,,,,,密码格式错误，必须为字母和数字的组合,确认您输入的密码,,
,,,,,用户名不能为空,账号不能为空,,确认您输入的密码,,
啦啦,,,,,用户名称至少3位,账号不能为空,,确认您输入的密码,,
12##刚刚wr,12,,,,,账号长度至少3位、不超过30位字符,,确认您输入的密码,,
一个号,#$%#$,,,,,账号只能包含中文、数字、字母、下划线、@,,确认您输入的密码,,
ab12吖,12@_a啊,12345,,,,,密码长度不能小于6位,确认您输入的密码,,
客户1,kehu01,123456789,,,,,密码格式错误，必须为字母和数字的组合,确认您输入的密码,,
客户133,kehu02,#@$######^%,,,,,密码格式错误，必须为字母和数字的组合,确认您输入的密码,,
客户12,kehu03,jimi123,12,,,,,两次输入的密码不一致,,
客户89,kehu013,jimi123,jimi123,yyyxxx,,,,,邮箱格式不正确,
